id;key;shift_start;shift_end;type
1;4124;2024-01-01T02:41:00;2023-12-31T11:06:14;except typify subsidize
2;20483;2024-01-01T04:04:06;2023-12-31T21:54:49;times crisp
3;13007;2024-01-01T00:50:51;2024-01-01T05:05:24;bribery
4;14269;2024-01-01T00:42:48;2023-12-31T06:29:08;whereas on
5;22243;2023-12-31T23:27:34;2023-12-31T10:00:54;which popularity grizzled
6;24869;2024-01-01T01:03:09;2023-12-31T11:59:50;polite victoriously evenly
7;12707;2023-12-31T11:14:48;2023-12-31T07:53:37;roughly balance apostrophise
8;15600;2023-12-31T18:51:49;2023-12-31T20:57:51;hatch
9;31397;2024-01-01T02:44:42;2023-12-31T18:22:41;yet next prod
10;30743;2023-12-31T05:15:22;2023-12-31T15:32:57;tingling er
