id;key;shift_start;shift_end;type
1;12683;2023-12-31T21:54:09;2023-12-31T07:42:23;giddy
2;2192;2023-12-31T13:20:36;2023-12-31T09:21:59;belated once
3;12278;2023-12-31T12:17:10;2023-12-31T17:05:39;next abaft into
4;17221;2023-12-31T06:32:42;2023-12-31T08:59:28;exterior fledgling barring
5;23725;2024-01-01T01:49:06;2023-12-31T11:56:03;extra-small
6;12312;2023-12-31T14:00:48;2023-12-31T07:57:57;shade
7;7539;2023-12-31T05:28:52;2023-12-31T11:26:03;loudly meh
8;28746;2024-01-01T04:15:04;2023-12-31T19:10:16;customize
9;21130;2023-12-31T16:51:40;2023-12-31T05:20:46;inwardly carport genuine
10;8194;2024-01-01T00:11:37;2023-12-31T16:00:09;powerful oh fiddle
